School,Department,Number of Courses,Requirement,Department Code
School of Humanities & Sciences,Institute for International Studies (FSI),0,Exploring Difference and Power,IIS
School of Humanities & Sciences,Institute for International Studies (FSI),0,Ethical Reasoning,IIS
School of Humanities & Sciences,Institute for International Studies (FSI),0,Formal Reasoning,IIS
School of Humanities & Sciences,Institute for International Studies (FSI),0,Applied Quantitative Reasoning,IIS
School of Humanities & Sciences,Institute for International Studies (FSI),0,Scientific Method and Analysis,IIS
School of Humanities & Sciences,Institute for International Studies (FSI),0,Social Inquiry,IIS
School of Humanities & Sciences,International Policy,0,Aesthetic and Interpretive Inquiry,INTLPOL
School of Humanities & Sciences,International Policy,0,Creative Expression,INTLPOL
School of Humanities & Sciences,International Policy,0,Exploring Difference and Power,INTLPOL
School of Humanities & Sciences,International Policy,0,Ethical Reasoning,INTLPOL
School of Humanities & Sciences,International Policy,0,Formal Reasoning,INTLPOL
School of Humanities & Sciences,International Policy,0,Applied Quantitative Reasoning,INTLPOL
School of Humanities & Sciences,International Policy,0,Scientific Method and Analysis,INTLPOL
School of Humanities & Sciences,International Policy,0,Social Inquiry,INTLPOL
School of Humanities & Sciences,International Relations,1,Aesthetic and Interpretive Inquiry,INTNLREL
School of Humanities & Sciences,International Relations,0,Creative Expression,INTNLREL
School of Humanities & Sciences,International Relations,2,Exploring Difference and Power,INTNLREL
School of Humanities & Sciences,International Relations,2,Ethical Reasoning,INTNLREL
School of Humanities & Sciences,International Relations,0,Formal Reasoning,INTNLREL
School of Humanities & Sciences,International Relations,0,Applied Quantitative Reasoning,INTNLREL
School of Humanities & Sciences,International Relations,0,Scientific Method and Analysis,INTNLREL
School of Humanities & Sciences,International Relations,50,Social Inquiry,INTNLREL
School of Humanities & Sciences,Italian Language,0,Aesthetic and Interpretive Inquiry,ITALLANG
School of Humanities & Sciences,Italian Language,0,Creative Expression,ITALLANG
School of Humanities & Sciences,Italian Language,0,Exploring Difference and Power,ITALLANG
School of Humanities & Sciences,Italian Language,0,Ethical Reasoning,ITALLANG
School of Humanities & Sciences,Italian Language,0,Formal Reasoning,ITALLANG
School of Humanities & Sciences,Italian Language,0,Applied Quantitative Reasoning,ITALLANG
School of Humanities & Sciences,Italian Language,0,Scientific Method and Analysis,ITALLANG
School of Humanities & Sciences,Italian Language,0,Social Inquiry,ITALLANG
School of Humanities & Sciences,Italian Studies,4,Aesthetic and Interpretive Inquiry,ITALIAN
School of Humanities & Sciences,Italian Studies,0,Creative Expression,ITALIAN
School of Humanities & Sciences,Italian Studies,2,Exploring Difference and Power,ITALIAN
School of Humanities & Sciences,Italian Studies,0,Ethical Reasoning,ITALIAN
School of Humanities & Sciences,Italian Studies,0,Formal Reasoning,ITALIAN
School of Humanities & Sciences,Italian Studies,0,Applied Quantitative Reasoning,ITALIAN
School of Humanities & Sciences,Italian Studies,0,Scientific Method and Analysis,ITALIAN
School of Humanities & Sciences,Italian Studies,2,Social Inquiry,ITALIAN
School of Humanities & Sciences,Japanese,23,Aesthetic and Interpretive Inquiry,JAPAN
School of Humanities & Sciences,Japanese,4,Creative Expression,JAPAN
School of Humanities & Sciences,Japanese,15,Exploring Difference and Power,JAPAN
School of Humanities & Sciences,Japanese,0,Ethical Reasoning,JAPAN
School of Humanities & Sciences,Japanese,0,Formal Reasoning,JAPAN
School of Humanities & Sciences,Japanese,0,Applied Quantitative Reasoning,JAPAN
School of Humanities & Sciences,Japanese,1,Scientific Method and Analysis,JAPAN
School of Humanities & Sciences,Japanese,13,Social Inquiry,JAPAN
School of Humanities & Sciences,Japanese Language,0,Aesthetic and Interpretive Inquiry,JAPANLNG
School of Humanities & Sciences,Japanese Language,0,Creative Expression,JAPANLNG
School of Humanities & Sciences,Japanese Language,0,Exploring Difference and Power,JAPANLNG
School of Humanities & Sciences,Japanese Language,0,Ethical Reasoning,JAPANLNG
School of Humanities & Sciences,Japanese Language,0,Formal Reasoning,JAPANLNG
School of Humanities & Sciences,Japanese Language,0,Applied Quantitative Reasoning,JAPANLNG
School of Humanities & Sciences,Japanese Language,0,Scientific Method and Analysis,JAPANLNG
School of Humanities & Sciences,Japanese Language,0,Social Inquiry,JAPANLNG
School of Humanities & Sciences,Jewish Studies,21,Aesthetic and Interpretive Inquiry,JEWISHST
School of Humanities & Sciences,Jewish Studies,1,Creative Expression,JEWISHST
School of Humanities & Sciences,Jewish Studies,24,Exploring Difference and Power,JEWISHST
School of Humanities & Sciences,Jewish Studies,2,Ethical Reasoning,JEWISHST
School of Humanities & Sciences,Jewish Studies,0,Formal Reasoning,JEWISHST
School of Humanities & Sciences,Jewish Studies,0,Applied Quantitative Reasoning,JEWISHST
School of Humanities & Sciences,Jewish Studies,0,Scientific Method and Analysis,JEWISHST
School of Humanities & Sciences,Jewish Studies,27,Social Inquiry,JEWISHST
School of Humanities & Sciences,Korean,16,Aesthetic and Interpretive Inquiry,KOREA
School of Humanities & Sciences,Korean,0,Creative Expression,KOREA
School of Humanities & Sciences,Korean,10,Exploring Difference and Power,KOREA
School of Humanities & Sciences,Korean,1,Ethical Reasoning,KOREA
School of Humanities & Sciences,Korean,0,Formal Reasoning,KOREA
School of Humanities & Sciences,Korean,0,Applied Quantitative Reasoning,KOREA
School of Humanities & Sciences,Korean,0,Scientific Method and Analysis,KOREA
School of Humanities & Sciences,Korean,10,Social Inquiry,KOREA
School of Humanities & Sciences,Korean Language,0,Aesthetic and Interpretive Inquiry,KORLANG
School of Humanities & Sciences,Korean Language,0,Creative Expression,KORLANG
School of Humanities & Sciences,Korean Language,0,Exploring Difference and Power,KORLANG
School of Humanities & Sciences,Korean Language,0,Ethical Reasoning,KORLANG
School of Humanities & Sciences,Korean Language,0,Formal Reasoning,KORLANG
School of Humanities & Sciences,Korean Language,0,Applied Quantitative Reasoning,KORLANG
School of Humanities & Sciences,Korean Language,0,Scientific Method and Analysis,KORLANG
School of Humanities & Sciences,Korean Language,0,Social Inquiry,KORLANG
School of Humanities & Sciences,Latin American Studies,3,Aesthetic and Interpretive Inquiry,LATINAM
School of Humanities & Sciences,Latin American Studies,0,Creative Expression,LATINAM
School of Humanities & Sciences,Latin American Studies,9,Exploring Difference and Power,LATINAM
School of Humanities & Sciences,Latin American Studies,0,Ethical Reasoning,LATINAM
School of Humanities & Sciences,Latin American Studies,0,Formal Reasoning,LATINAM
School of Humanities & Sciences,Latin American Studies,0,Applied Quantitative Reasoning,LATINAM
School of Humanities & Sciences,Latin American Studies,0,Scientific Method and Analysis,LATINAM
School of Humanities & Sciences,Latin American Studies,10,Social Inquiry,LATINAM
School of Humanities & Sciences,Linguistics,0,Aesthetic and Interpretive Inquiry,LINGUIST
School of Humanities & Sciences,Linguistics,0,Creative Expression,LINGUIST
School of Humanities & Sciences,Linguistics,4,Exploring Difference and Power,LINGUIST
School of Humanities & Sciences,Linguistics,0,Ethical Reasoning,LINGUIST
School of Humanities & Sciences,Linguistics,9,Formal Reasoning,LINGUIST
School of Humanities & Sciences,Linguistics,1,Applied Quantitative Reasoning,LINGUIST
School of Humanities & Sciences,Linguistics,1,Scientific Method and Analysis,LINGUIST
School of Humanities & Sciences,Linguistics,3,Social Inquiry,LINGUIST
School of Humanities & Sciences,Master of Liberal Arts,0,Aesthetic and Interpretive Inquiry,MLA
School of Humanities & Sciences,Master of Liberal Arts,0,Creative Expression,MLA
School of Humanities & Sciences,Master of Liberal Arts,0,Exploring Difference and Power,MLA
School of Humanities & Sciences,Master of Liberal Arts,0,Ethical Reasoning,MLA
School of Humanities & Sciences,Master of Liberal Arts,0,Formal Reasoning,MLA
School of Humanities & Sciences,Master of Liberal Arts,0,Applied Quantitative Reasoning,MLA
School of Humanities & Sciences,Master of Liberal Arts,0,Scientific Method and Analysis,MLA
School of Humanities & Sciences,Master of Liberal Arts,0,Social Inquiry,MLA
School of Humanities & Sciences,Mathematical & Computational Science,0,Aesthetic and Interpretive Inquiry,MCS
School of Humanities & Sciences,Mathematical & Computational Science,0,Creative Expression,MCS
School of Humanities & Sciences,Mathematical & Computational Science,0,Exploring Difference and Power,MCS
School of Humanities & Sciences,Mathematical & Computational Science,0,Ethical Reasoning,MCS
School of Humanities & Sciences,Mathematical & Computational Science,1,Formal Reasoning,MCS
School of Humanities & Sciences,Mathematical & Computational Science,0,Applied Quantitative Reasoning,MCS
School of Humanities & Sciences,Mathematical & Computational Science,0,Scientific Method and Analysis,MCS
School of Humanities & Sciences,Mathematical & Computational Science,0,Social Inquiry,MCS
School of Humanities & Sciences,Mathematics,0,Aesthetic and Interpretive Inquiry,MATH
School of Humanities & Sciences,Mathematics,0,Creative Expression,MATH
School of Humanities & Sciences,Mathematics,0,Exploring Difference and Power,MATH
School of Humanities & Sciences,Mathematics,0,Ethical Reasoning,MATH
School of Humanities & Sciences,Mathematics,59,Formal Reasoning,MATH
School of Humanities & Sciences,Mathematics,1,Applied Quantitative Reasoning,MATH
School of Humanities & Sciences,Mathematics,8,Scientific Method and Analysis,MATH
School of Humanities & Sciences,Mathematics,2,Social Inquiry,MATH
School of Humanities & Sciences,Medieval Studies,0,Aesthetic and Interpretive Inquiry,MEDVLST
School of Humanities & Sciences,Medieval Studies,0,Creative Expression,MEDVLST
School of Humanities & Sciences,Medieval Studies,0,Exploring Difference and Power,MEDVLST
School of Humanities & Sciences,Medieval Studies,0,Ethical Reasoning,MEDVLST
School of Humanities & Sciences,Medieval Studies,0,Formal Reasoning,MEDVLST
School of Humanities & Sciences,Medieval Studies,0,Applied Quantitative Reasoning,MEDVLST
School of Humanities & Sciences,Medieval Studies,0,Scientific Method and Analysis,MEDVLST
School of Humanities & Sciences,Medieval Studies,0,Social Inquiry,MEDVLST
School of Humanities & Sciences,Modern Thought & Literature,0,Aesthetic and Interpretive Inquiry,MTL
School of Humanities & Sciences,Modern Thought & Literature,0,Creative Expression,MTL
School of Humanities & Sciences,Modern Thought & Literature,0,Exploring Difference and Power,MTL
School of Humanities & Sciences,Modern Thought & Literature,0,Ethical Reasoning,MTL
School of Humanities & Sciences,Modern Thought & Literature,0,Formal Reasoning,MTL
School of Humanities & Sciences,Modern Thought & Literature,0,Applied Quantitative Reasoning,MTL
School of Humanities & Sciences,Modern Thought & Literature,0,Scientific Method and Analysis,MTL
School of Humanities & Sciences,Modern Thought & Literature,0,Social Inquiry,MTL
School of Humanities & Sciences,Music,137,Aesthetic and Interpretive Inquiry,MUSIC
School of Humanities & Sciences,Music,144,Creative Expression,MUSIC
School of Humanities & Sciences,Music,58,Exploring Difference and Power,MUSIC
School of Humanities & Sciences,Music,0,Ethical Reasoning,MUSIC
School of Humanities & Sciences,Music,1,Formal Reasoning,MUSIC
School of Humanities & Sciences,Music,1,Applied Quantitative Reasoning,MUSIC
School of Humanities & Sciences,Music,4,Scientific Method and Analysis,MUSIC
School of Humanities & Sciences,Music,31,Social Inquiry,MUSIC
School of Humanities & Sciences,Native American Studies,1,Aesthetic and Interpretive Inquiry,NATIVEAM
School of Humanities & Sciences,Native American Studies,0,Creative Expression,NATIVEAM
School of Humanities & Sciences,Native American Studies,8,Exploring Difference and Power,NATIVEAM
School of Humanities & Sciences,Native American Studies,0,Ethical Reasoning,NATIVEAM
School of Humanities & Sciences,Native American Studies,0,Formal Reasoning,NATIVEAM
School of Humanities & Sciences,Native American Studies,0,Applied Quantitative Reasoning,NATIVEAM
School of Humanities & Sciences,Native American Studies,0,Scientific Method and Analysis,NATIVEAM
School of Humanities & Sciences,Native American Studies,2,Social Inquiry,NATIVEAM
School of Humanities & Sciences,Philosophy,32,Aesthetic and Interpretive Inquiry,PHIL
School of Humanities & Sciences,Philosophy,1,Creative Expression,PHIL
School of Humanities & Sciences,Philosophy,1,Exploring Difference and Power,PHIL
School of Humanities & Sciences,Philosophy,25,Ethical Reasoning,PHIL
School of Humanities & Sciences,Philosophy,7,Formal Reasoning,PHIL
School of Humanities & Sciences,Philosophy,0,Applied Quantitative Reasoning,PHIL
School of Humanities & Sciences,Philosophy,1,Scientific Method and Analysis,PHIL
School of Humanities & Sciences,Philosophy,3,Social Inquiry,PHIL
School of Humanities & Sciences,Physics,3,Aesthetic and Interpretive Inquiry,PHYSICS
School of Humanities & Sciences,Physics,4,Creative Expression,PHYSICS
School of Humanities & Sciences,Physics,0,Exploring Difference and Power,PHYSICS
School of Humanities & Sciences,Physics,2,Ethical Reasoning,PHYSICS
School of Humanities & Sciences,Physics,18,Formal Reasoning,PHYSICS
School of Humanities & Sciences,Physics,27,Applied Quantitative Reasoning,PHYSICS
School of Humanities & Sciences,Physics,66,Scientific Method and Analysis,PHYSICS
School of Humanities & Sciences,Physics,1,Social Inquiry,PHYSICS
School of Humanities & Sciences,Political Science,6,Aesthetic and Interpretive Inquiry,POLISCI
School of Humanities & Sciences,Political Science,0,Creative Expression,POLISCI
School of Humanities & Sciences,Political Science,4,Exploring Difference and Power,POLISCI
School of Humanities & Sciences,Political Science,31,Ethical Reasoning,POLISCI
School of Humanities & Sciences,Political Science,3,Formal Reasoning,POLISCI
School of Humanities & Sciences,Political Science,9,Applied Quantitative Reasoning,POLISCI
School of Humanities & Sciences,Political Science,0,Scientific Method and Analysis,POLISCI
School of Humanities & Sciences,Political Science,68,Social Inquiry,POLISCI
School of Humanities & Sciences,Portuguese Language,0,Aesthetic and Interpretive Inquiry,PORTLANG
School of Humanities & Sciences,Portuguese Language,0,Creative Expression,PORTLANG
School of Humanities & Sciences,Portuguese Language,0,Exploring Difference and Power,PORTLANG
School of Humanities & Sciences,Portuguese Language,0,Ethical Reasoning,PORTLANG
School of Humanities & Sciences,Portuguese Language,0,Formal Reasoning,PORTLANG
School of Humanities & Sciences,Portuguese Language,0,Applied Quantitative Reasoning,PORTLANG
School of Humanities & Sciences,Portuguese Language,0,Scientific Method and Analysis,PORTLANG
School of Humanities & Sciences,Portuguese Language,0,Social Inquiry,PORTLANG
School of Humanities & Sciences,Psychology,1,Aesthetic and Interpretive Inquiry,PSYCH
School of Humanities & Sciences,Psychology,0,Creative Expression,PSYCH
School of Humanities & Sciences,Psychology,9,Exploring Difference and Power,PSYCH
School of Humanities & Sciences,Psychology,0,Ethical Reasoning,PSYCH
School of Humanities & Sciences,Psychology,2,Formal Reasoning,PSYCH
School of Humanities & Sciences,Psychology,1,Applied Quantitative Reasoning,PSYCH
School of Humanities & Sciences,Psychology,5,Scientific Method and Analysis,PSYCH
School of Humanities & Sciences,Psychology,34,Social Inquiry,PSYCH
School of Humanities & Sciences,Public Policy,0,Aesthetic and Interpretive Inquiry,PUBLPOL
School of Humanities & Sciences,Public Policy,0,Creative Expression,PUBLPOL
School of Humanities & Sciences,Public Policy,5,Exploring Difference and Power,PUBLPOL
School of Humanities & Sciences,Public Policy,6,Ethical Reasoning,PUBLPOL
School of Humanities & Sciences,Public Policy,0,Formal Reasoning,PUBLPOL
School of Humanities & Sciences,Public Policy,8,Applied Quantitative Reasoning,PUBLPOL
School of Humanities & Sciences,Public Policy,1,Scientific Method and Analysis,PUBLPOL
School of Humanities & Sciences,Public Policy,34,Social Inquiry,PUBLPOL
School of Humanities & Sciences,Religious Studies,34,Aesthetic and Interpretive Inquiry,RELIGST
School of Humanities & Sciences,Religious Studies,0,Creative Expression,RELIGST
School of Humanities & Sciences,Religious Studies,22,Exploring Difference and Power,RELIGST
School of Humanities & Sciences,Religious Studies,3,Ethical Reasoning,RELIGST
School of Humanities & Sciences,Religious Studies,0,Formal Reasoning,RELIGST
School of Humanities & Sciences,Religious Studies,0,Applied Quantitative Reasoning,RELIGST
School of Humanities & Sciences,Religious Studies,0,Scientific Method and Analysis,RELIGST
School of Humanities & Sciences,Religious Studies,19,Social Inquiry,RELIGST
School of Humanities & Sciences,"Russian, East European, & Eurasian Studies",0,Aesthetic and Interpretive Inquiry,REES
School of Humanities & Sciences,"Russian, East European, & Eurasian Studies",0,Creative Expression,REES
School of Humanities & Sciences,"Russian, East European, & Eurasian Studies",0,Exploring Difference and Power,REES
School of Humanities & Sciences,"Russian, East European, & Eurasian Studies",0,Ethical Reasoning,REES
School of Humanities & Sciences,"Russian, East European, & Eurasian Studies",0,Formal Reasoning,REES
School of Humanities & Sciences,"Russian, East European, & Eurasian Studies",0,Applied Quantitative Reasoning,REES
School of Humanities & Sciences,"Russian, East European, & Eurasian Studies",0,Scientific Method and Analysis,REES
School of Humanities & Sciences,"Russian, East European, & Eurasian Studies",0,Social Inquiry,REES
School of Humanities & Sciences,"Science, Technology, & Society",2,Aesthetic and Interpretive Inquiry,STS
School of Humanities & Sciences,"Science, Technology, & Society",0,Creative Expression,STS
School of Humanities & Sciences,"Science, Technology, & Society",1,Exploring Difference and Power,STS
School of Humanities & Sciences,"Science, Technology, & Society",4,Ethical Reasoning,STS
School of Humanities & Sciences,"Science, Technology, & Society",0,Formal Reasoning,STS
School of Humanities & Sciences,"Science, Technology, & Society",1,Applied Quantitative Reasoning,STS
School of Humanities & Sciences,"Science, Technology, & Society",0,Scientific Method and Analysis,STS
School of Humanities & Sciences,"Science, Technology, & Society",8,Social Inquiry,STS
School of Humanities & Sciences,Slavic Language,0,Aesthetic and Interpretive Inquiry,SLAVLANG
School of Humanities & Sciences,Slavic Language,0,Creative Expression,SLAVLANG
School of Humanities & Sciences,Slavic Language,0,Exploring Difference and Power,SLAVLANG
School of Humanities & Sciences,Slavic Language,0,Ethical Reasoning,SLAVLANG
School of Humanities & Sciences,Slavic Language,0,Formal Reasoning,SLAVLANG
School of Humanities & Sciences,Slavic Language,0,Applied Quantitative Reasoning,SLAVLANG
School of Humanities & Sciences,Slavic Language,0,Scientific Method and Analysis,SLAVLANG
School of Humanities & Sciences,Slavic Language,0,Social Inquiry,SLAVLANG
School of Humanities & Sciences,Slavic Studies,0,Aesthetic and Interpretive Inquiry,SLAVIC
School of Humanities & Sciences,Slavic Studies,0,Creative Expression,SLAVIC
School of Humanities & Sciences,Slavic Studies,0,Exploring Difference and Power,SLAVIC
School of Humanities & Sciences,Slavic Studies,0,Ethical Reasoning,SLAVIC
School of Humanities & Sciences,Slavic Studies,0,Formal Reasoning,SLAVIC
School of Humanities & Sciences,Slavic Studies,0,Applied Quantitative Reasoning,SLAVIC
School of Humanities & Sciences,Slavic Studies,0,Scientific Method and Analysis,SLAVIC
School of Humanities & Sciences,Slavic Studies,0,Social Inquiry,SLAVIC
School of Humanities & Sciences,Sociology,2,Aesthetic and Interpretive Inquiry,SOC
School of Humanities & Sciences,Sociology,0,Creative Expression,SOC
School of Humanities & Sciences,Sociology,24,Exploring Difference and Power,SOC
School of Humanities & Sciences,Sociology,3,Ethical Reasoning,SOC
School of Humanities & Sciences,Sociology,0,Formal Reasoning,SOC
School of Humanities & Sciences,Sociology,4,Applied Quantitative Reasoning,SOC
School of Humanities & Sciences,Sociology,1,Scientific Method and Analysis,SOC
School of Humanities & Sciences,Sociology,64,Social Inquiry,SOC
School of Humanities & Sciences,Spanish Language,6,Aesthetic and Interpretive Inquiry,SPANLANG
School of Humanities & Sciences,Spanish Language,0,Creative Expression,SPANLANG
School of Humanities & Sciences,Spanish Language,7,Exploring Difference and Power,SPANLANG
School of Humanities & Sciences,Spanish Language,2,Ethical Reasoning,SPANLANG
School of Humanities & Sciences,Spanish Language,0,Formal Reasoning,SPANLANG
School of Humanities & Sciences,Spanish Language,0,Applied Quantitative Reasoning,SPANLANG
School of Humanities & Sciences,Spanish Language,0,Scientific Method and Analysis,SPANLANG
School of Humanities & Sciences,Spanish Language,1,Social Inquiry,SPANLANG
School of Humanities & Sciences,"Spanish, Portuguese, & Catalan Literature",0,Aesthetic and Interpretive Inquiry,ILAC
School of Humanities & Sciences,"Spanish, Portuguese, & Catalan Literature",0,Creative Expression,ILAC
School of Humanities & Sciences,"Spanish, Portuguese, & Catalan Literature",0,Exploring Difference and Power,ILAC
School of Humanities & Sciences,"Spanish, Portuguese, & Catalan Literature",0,Ethical Reasoning,ILAC
School of Humanities & Sciences,"Spanish, Portuguese, & Catalan Literature",0,Formal Reasoning,ILAC
School of Humanities & Sciences,"Spanish, Portuguese, & Catalan Literature",0,Applied Quantitative Reasoning,ILAC
School of Humanities & Sciences,"Spanish, Portuguese, & Catalan Literature",0,Scientific Method and Analysis,ILAC
School of Humanities & Sciences,"Spanish, Portuguese, & Catalan Literature",0,Social Inquiry,ILAC
School of Humanities & Sciences,Special Language Program,0,Aesthetic and Interpretive Inquiry,SPECLANG
School of Humanities & Sciences,Special Language Program,0,Creative Expression,SPECLANG
School of Humanities & Sciences,Special Language Program,0,Exploring Difference and Power,SPECLANG
School of Humanities & Sciences,Special Language Program,0,Ethical Reasoning,SPECLANG
School of Humanities & Sciences,Special Language Program,0,Formal Reasoning,SPECLANG
School of Humanities & Sciences,Special Language Program,0,Applied Quantitative Reasoning,SPECLANG
School of Humanities & Sciences,Special Language Program,0,Scientific Method and Analysis,SPECLANG
School of Humanities & Sciences,Special Language Program,0,Social Inquiry,SPECLANG
School of Humanities & Sciences,Stanford in Washington,1,Aesthetic and Interpretive Inquiry,SIW
School of Humanities & Sciences,Stanford in Washington,0,Creative Expression,SIW
School of Humanities & Sciences,Stanford in Washington,1,Exploring Difference and Power,SIW
School of Humanities & Sciences,Stanford in Washington,0,Ethical Reasoning,SIW
School of Humanities & Sciences,Stanford in Washington,0,Formal Reasoning,SIW
School of Humanities & Sciences,Stanford in Washington,0,Applied Quantitative Reasoning,SIW
School of Humanities & Sciences,Stanford in Washington,0,Scientific Method and Analysis,SIW
School of Humanities & Sciences,Stanford in Washington,0,Social Inquiry,SIW
School of Humanities & Sciences,Statistics,0,Aesthetic and Interpretive Inquiry,STATS
School of Humanities & Sciences,Statistics,0,Creative Expression,STATS
School of Humanities & Sciences,Statistics,0,Exploring Difference and Power,STATS
School of Humanities & Sciences,Statistics,0,Ethical Reasoning,STATS
School of Humanities & Sciences,Statistics,5,Formal Reasoning,STATS
School of Humanities & Sciences,Statistics,8,Applied Quantitative Reasoning,STATS
School of Humanities & Sciences,Statistics,0,Scientific Method and Analysis,STATS
School of Humanities & Sciences,Statistics,0,Social Inquiry,STATS
School of Humanities & Sciences,Symbolic Systems,1,Aesthetic and Interpretive Inquiry,SYMSYS
School of Humanities & Sciences,Symbolic Systems,0,Creative Expression,SYMSYS
School of Humanities & Sciences,Symbolic Systems,1,Exploring Difference and Power,SYMSYS
School of Humanities & Sciences,Symbolic Systems,0,Ethical Reasoning,SYMSYS
School of Humanities & Sciences,Symbolic Systems,5,Formal Reasoning,SYMSYS
School of Humanities & Sciences,Symbolic Systems,0,Applied Quantitative Reasoning,SYMSYS
School of Humanities & Sciences,Symbolic Systems,0,Scientific Method and Analysis,SYMSYS
School of Humanities & Sciences,Symbolic Systems,1,Social Inquiry,SYMSYS
School of Humanities & Sciences,Theater and Performance Studies,32,Aesthetic and Interpretive Inquiry,TAPS
School of Humanities & Sciences,Theater and Performance Studies,53,Creative Expression,TAPS
School of Humanities & Sciences,Theater and Performance Studies,14,Exploring Difference and Power,TAPS
School of Humanities & Sciences,Theater and Performance Studies,2,Ethical Reasoning,TAPS
School of Humanities & Sciences,Theater and Performance Studies,0,Formal Reasoning,TAPS
School of Humanities & Sciences,Theater and Performance Studies,0,Applied Quantitative Reasoning,TAPS
School of Humanities & Sciences,Theater and Performance Studies,0,Scientific Method and Analysis,TAPS
School of Humanities & Sciences,Theater and Performance Studies,3,Social Inquiry,TAPS
School of Humanities & Sciences,Tibetan Language,0,Aesthetic and Interpretive Inquiry,TIBETLNG
School of Humanities & Sciences,Tibetan Language,0,Creative Expression,TIBETLNG
School of Humanities & Sciences,Tibetan Language,0,Exploring Difference and Power,TIBETLNG
School of Humanities & Sciences,Tibetan Language,0,Ethical Reasoning,TIBETLNG
School of Humanities & Sciences,Tibetan Language,0,Formal Reasoning,TIBETLNG
School of Humanities & Sciences,Tibetan Language,0,Applied Quantitative Reasoning,TIBETLNG
School of Humanities & Sciences,Tibetan Language,0,Scientific Method and Analysis,TIBETLNG
School of Humanities & Sciences,Tibetan Language,0,Social Inquiry,TIBETLNG
School of Humanities & Sciences,Urban Studies,9,Aesthetic and Interpretive Inquiry,URBANST
School of Humanities & Sciences,Urban Studies,3,Creative Expression,URBANST
School of Humanities & Sciences,Urban Studies,18,Exploring Difference and Power,URBANST
School of Humanities & Sciences,Urban Studies,3,Ethical Reasoning,URBANST
School of Humanities & Sciences,Urban Studies,0,Formal Reasoning,URBANST
School of Humanities & Sciences,Urban Studies,2,Applied Quantitative Reasoning,URBANST
School of Humanities & Sciences,Urban Studies,1,Scientific Method and Analysis,URBANST
School of Humanities & Sciences,Urban Studies,43,Social Inquiry,URBANST
Law School,Law,23,Aesthetic and Interpretive Inquiry,LAW
Law School,Law,0,Creative Expression,LAW
Law School,Law,46,Exploring Difference and Power,LAW
Law School,Law,22,Ethical Reasoning,LAW
Law School,Law,6,Formal Reasoning,LAW
Law School,Law,7,Applied Quantitative Reasoning,LAW
Law School,Law,3,Scientific Method and Analysis,LAW
Law School,Law,96,Social Inquiry,LAW
Law School,"Law, Nonprofessional",0,Aesthetic and Interpretive Inquiry,LAWGEN
Law School,"Law, Nonprofessional",0,Creative Expression,LAWGEN
Law School,"Law, Nonprofessional",0,Exploring Difference and Power,LAWGEN
Law School,"Law, Nonprofessional",0,Ethical Reasoning,LAWGEN
Law School,"Law, Nonprofessional",0,Formal Reasoning,LAWGEN
Law School,"Law, Nonprofessional",0,Applied Quantitative Reasoning,LAWGEN
Law School,"Law, Nonprofessional",0,Scientific Method and Analysis,LAWGEN
Law School,"Law, Nonprofessional",0,Social Inquiry,LAWGEN
School of Medicine,Anesthesia,0,Aesthetic and Interpretive Inquiry,ANES
School of Medicine,Anesthesia,1,Creative Expression,ANES
School of Medicine,Anesthesia,1,Exploring Difference and Power,ANES
School of Medicine,Anesthesia,0,Ethical Reasoning,ANES
School of Medicine,Anesthesia,0,Formal Reasoning,ANES
School of Medicine,Anesthesia,0,Applied Quantitative Reasoning,ANES
School of Medicine,Anesthesia,0,Scientific Method and Analysis,ANES
School of Medicine,Anesthesia,0,Social Inquiry,ANES
School of Medicine,Biochemistry,0,Aesthetic and Interpretive Inquiry,BIOC
School of Medicine,Biochemistry,0,Creative Expression,BIOC
School of Medicine,Biochemistry,0,Exploring Difference and Power,BIOC
School of Medicine,Biochemistry,0,Ethical Reasoning,BIOC
School of Medicine,Biochemistry,0,Formal Reasoning,BIOC
School of Medicine,Biochemistry,0,Applied Quantitative Reasoning,BIOC
School of Medicine,Biochemistry,0,Scientific Method and Analysis,BIOC
School of Medicine,Biochemistry,0,Social Inquiry,BIOC
School of Medicine,Biomedical Data Science,0,Aesthetic and Interpretive Inquiry,BIODS
School of Medicine,Biomedical Data Science,0,Creative Expression,BIODS
School of Medicine,Biomedical Data Science,0,Exploring Difference and Power,BIODS
School of Medicine,Biomedical Data Science,0,Ethical Reasoning,BIODS
School of Medicine,Biomedical Data Science,0,Formal Reasoning,BIODS
School of Medicine,Biomedical Data Science,0,Applied Quantitative Reasoning,BIODS
School of Medicine,Biomedical Data Science,0,Scientific Method and Analysis,BIODS
School of Medicine,Biomedical Data Science,0,Social Inquiry,BIODS
School of Medicine,Biomedical Informatics,0,Aesthetic and Interpretive Inquiry,BIOMEDIN
School of Medicine,Biomedical Informatics,0,Creative Expression,BIOMEDIN
School of Medicine,Biomedical Informatics,0,Exploring Difference and Power,BIOMEDIN
School of Medicine,Biomedical Informatics,0,Ethical Reasoning,BIOMEDIN
School of Medicine,Biomedical Informatics,0,Formal Reasoning,BIOMEDIN
School of Medicine,Biomedical Informatics,0,Applied Quantitative Reasoning,BIOMEDIN
School of Medicine,Biomedical Informatics,0,Scientific Method and Analysis,BIOMEDIN
School of Medicine,Biomedical Informatics,1,Social Inquiry,BIOMEDIN
School of Medicine,Biomedical Physics,0,Aesthetic and Interpretive Inquiry,BMP
